seed	team	player	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	r2Id	masseyId	utrId
 8	A&M  	Stefan Storch                       	 6	 2	237	75.892	229	 91.279	243	 91.677	167	7.356	321	12.44	273	 2.235	513403	331186	 210390
 8	A&M  	Bjorn Thomson                       	 8	 5	321	68.378	332	 89.123	331	 90.022	345	6.590	339	12.37	246	 2.421	562733	331403	2527549
 8	A&M  	Kenner Taylor                       	 6	 3	343	66.996	370	 88.233	344	 89.791	401	6.329	278	12.59	276	 2.222	513402	331187	 104754
 8	A&M  	Austin Abbrat                       	 1	 1	361	65.025	339	 89.024	372	 89.216	377	6.453	243	12.69	   	      	485535	331527	 909668
 8	A&M  	Pranav Kumar                        	 1	 3	458	56.822	477	 85.441	435	 87.930	471	5.922	339	12.37	   	      	423935	331211	 178567
 9	UCF  	Gabriel Decamps                     	17	 4	 11	98.767	 20	 97.446	 16	 97.759	  9	8.806	 11	13.69	  9	42.843	401237	332283	2605771
 9	UCF  	Kento Yamada                        	18	 1	 74	92.485	 68	 95.101	 99	 94.513	 35	8.363	 90	13.18	113	 4.267	563343	333442	2085673
 9	UCF  	Juan Pablo Grassi Mazzuchi          	15	 6	 79	91.899	 87	 94.425	 97	 94.544	 77	7.945	 61	13.29	 88	 7.081	487277	332285	1033825
 9	UCF  	Trey Hilderbrand                    	18	 5	129	87.031	133	 93.258	153	 93.263	106	7.722	 90	13.18	189	 2.895	487278	332284	  57785
 9	UCF  	Alan Rubio                          	13	 8	137	86.314	108	 93.813	112	 94.265	138	7.499	204	12.79	141	 3.775	447396	332286	1252179
 9	UCF  	Mikhail Sokolovskiy                 	14	 6	259	74.037	279	 90.089	302	 90.464	246	7.047	210	12.78	271	 2.256	453412	332287	1608034
 9	UCF  	Bogdan Pavel                        	 2	 3	427	59.556	442	 86.484	415	 88.291	371	6.491	351	12.35	   	      	487279	332288	 115183
10	WAKE 	Henri Squire                        	17	 6	  8	98.905	 12	 98.220	  7	 98.740	 18	8.557	  8	13.77	 13	38.103	521020	332467	 236405
10	WAKE 	Eduardo Nava                        	17	 4	 45	95.483	 47	 95.961	 58	 95.638	 23	8.491	 75	13.24	 40	19.971	436186	332049	 956360
10	WAKE 	Taha Baadi                          	13	 9	101	89.783	106	 93.958	 90	 94.852	101	7.745	127	13.02	 91	 6.707	521019	332682	 170788
10	WAKE 	Rrezart Cungu                       	21	 4	109	88.975	100	 94.118	146	 93.446	 84	7.895	 81	13.21	164	 3.355	399843	332447	  79806
10	WAKE 	Siddhant Banthia                    	20	 4	157	84.220	167	 92.527	194	 92.469	111	7.651	152	12.93	179	 2.980	497656	332050	2043797
10	WAKE 	Luciano Tacchi                      	 7	 0	209	78.382	304	 89.655	399	 88.576	480	5.851	 51	13.33	159	 3.429	564320	333295	 275318
10	WAKE 	Melios Efstathiou                   	12	 8	213	78.160	192	 91.866	196	 92.445	205	7.228	214	12.77	301	 2.088	490437	331938	1863637
10	WAKE 	Filippo Moroni                      	10	 4	227	76.926	246	 90.923	227	 91.982	198	7.242	232	12.71	255	 2.393	564331	332468	 224352
10	WAKE 	Adam Ambrozy                        	11	 1	232	76.488	254	 90.726	257	 91.361	288	6.845	245	12.68	156	 3.449	565786	331940	  73663
10	WAKE 	Robert Maciag                       	11	 3	246	75.101	268	 90.463	259	 91.301	273	6.903	236	12.70	214	 2.606	514702	331939	  66137
10	WAKE 	Matthew Thomson                     	 5	 0	388	62.451	412	 87.214	437	 87.876	465	5.959	339	12.37	263	 2.343	514701	332448	 920262
10	WAKE 	Juan Lopez De Azcona                	 2	 0	452	57.146	496	 84.725	490	 86.090	   	     	221	12.73	   	      	514705	      	1499058
10	WAKE 	Taye Dupree                         	 1	 0	636	41.658	635	 52.191	622	 53.950	   	     	   	     	   	      	490434	      	1907279
11	UGA  	Trent Bryde                         	15	14	 32	96.451	 49	 95.732	 36	 96.593	 76	7.950	 28	13.47	 15	36.709	498429	331260	  76957
11	UGA  	Philip Henning                      	20	10	 51	94.786	 62	 95.369	 77	 95.177	 50	8.157	 85	13.20	 19	31.727	498428	331263	 214601
11	UGA  	Tyler Zink                          	12	10	 71	92.962	 81	 94.645	 73	 95.237	103	7.733	105	13.12	 27	25.298	511569	331271	2531094
11	UGA  	Blake Croyder                       	17	13	135	86.445	143	 93.052	157	 93.183	118	7.585	136	12.98	127	 4.077	487816	331256	1251097
11	UGA  	Erik Grevelius                      	17	 8	166	83.055	170	 92.460	195	 92.458	119	7.581	152	12.93	233	 2.478	511567	331269	2588682
11	UGA  	Billy Rowe                          	17	10	196	79.408	166	 92.555	182	 92.659	158	7.383	221	12.73	351	 1.838	562702	331402	  62831
11	UGA  	Baptiste Anselmo                    	 8	 9	309	69.266	285	 90.023	275	 90.923	312	6.731	289	12.56	388	 1.671	511559	331267	 251648
