seed	team	player	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	r2Id	masseyId	utrId
10	A&M  	Renee McBryde                	17	 5	197	80.034	192	 89.785	209	 90.534	184	7.005	191	10.06	225	 2.436	489405	336981	 137388
10	A&M  	Dorthea Faa-Hviding          	14	 9	218	77.703	204	 89.524	206	 90.635	211	6.841	193	10.05	322	 1.866	405619	336984	1873416
10	A&M  	Riley McQuaid                	17	 9	241	75.248	257	 88.002	251	 89.476	262	6.513	209	10.00	263	 2.123	432087	336821	  76891
10	A&M  	Jessica Anzo                 	10	 6	251	74.682	251	 88.197	277	 88.783	223	6.784	209	10.00	321	 1.867	489468	336836	  76940
10	A&M  	Lucia Quitero                	 3	 3	331	67.548	248	 88.239	247	 89.668	280	6.429	   	     	   	      	497310	336816	1871510
10	A&M  	Isa Di Laura                 	 5	 2	419	61.021	443	 81.834	430	 84.205	421	5.490	408	 8.87	275	 2.062	564259	336985	2095691
10	A&M  	Elise Robbins                	 6	 3	432	59.768	471	 79.779	471	 82.008	482	4.872	465	 8.21	212	 2.474	562573	336829	 104523
11	FLA  	McCartney Kessler            	17	 2	  6	99.129	  8	 97.045	  7	 97.904	  8	8.567	 14	10.89	  8	45.577	421536	336945	 251050
11	FLA  	Layne Sleeth                 	 9	 1	 80	91.835	 78	 92.713	 76	 93.701	 17	8.332	   	     	 69	 7.721	511900	337810	2646671
11	FLA  	Ida Jarlskog                 	 9	 4	 90	90.513	 91	 92.361	102	 92.934	 96	7.470	 98	10.38	 88	 5.664	489049	337273	  86275
11	FLA  	Marlee Zein                  	10	 9	 94	90.078	 99	 92.093	 89	 93.216	142	7.206	122	10.30	 63	 8.249	489050	336758	2121868
11	FLA  	Sydney Berlin                	18	 5	185	81.455	184	 89.851	220	 90.251	145	7.198	173	10.14	216	 2.473	497400	336768	 206869
11	FLA  	Sara Dahlstrom               	 9	12	213	78.345	240	 88.420	231	 90.003	275	6.447	228	 9.93	137	 3.395	561858	336765	1428869
11	FLA  	Amber McGinnis               	 1	 8	487	54.463	485	 78.634	486	 81.061	492	4.683	420	 8.78	   	      	564248	337278	1784785
12	LSU  	Taylor Bridges               	14	11	 81	91.627	 89	 92.459	 71	 93.783	119	7.301	114	10.33	 48	11.612	486239	336654	 182253
12	LSU  	Paris Corley                 	19	 4	 85	91.151	 60	 93.356	 75	 93.703	 42	7.971	   	     	 55	 9.834	486238	336647	1784621
12	LSU  	Safiya Carrington            	10	11	132	86.831	124	 91.354	110	 92.826	187	6.981	135	10.27	115	 4.095	511368	336657	2092219
12	LSU  	Maggie Cubitt                	 8	 4	145	85.155	141	 90.900	162	 91.522	122	7.289	 98	10.38	264	 2.111	511369	336644	 371687
12	LSU  	Nina Geissler                	15	 7	220	77.517	214	 89.241	224	 90.141	193	6.933	221	 9.96	281	 2.014	511370	336671	1711837
12	LSU  	Eden Richardson              	 9	12	327	67.901	250	 88.217	234	 89.918	279	6.437	   	     	400	 1.473	445332	336822	1711831
12	LSU  	Samantha Buyckx              	11	 6	343	66.473	313	 86.746	316	 87.918	281	6.426	   	     	292	 1.960	562070	336652	 100219
12	LSU  	Anna Loughlan                	 2	 2	390	63.500	308	 86.875	301	 88.182	333	6.074	   	     	   	      	486237	336825	 200417
13	GT   	Kenya Jones                  	19	 9	 13	98.473	 12	 96.447	 11	 97.365	 37	8.057	 34	10.75	  5	50.312	419665	337134	  46803
13	GT   	Victoria Flores              	19	 6	 34	96.714	 48	 93.981	 45	 94.921	 35	8.080	 39	10.68	 13	29.631	407152	337132	  72795
13	GT   	Ava Hrastar                  	13	 9	118	88.147	156	 90.645	146	 91.902	106	7.406	114	10.33	 85	 5.806	564715	337137	2062207
13	GT   	Carol Lee                    	14	12	158	83.621	219	 89.129	219	 90.261	153	7.162	153	10.19	105	 4.330	564717	337136	2687942
13	GT   	Gia Cohen                    	 9	16	208	78.736	218	 89.150	192	 90.966	284	6.419	265	 9.72	138	 3.383	497851	337144	  96587
13	GT   	Mahak Jain                   	18	 8	243	75.121	233	 88.669	265	 89.035	207	6.853	239	 9.86	312	 1.890	564716	337135	1616216
13	GT   	Rosie Garcia Gross           	 5	11	357	65.617	348	 85.758	338	 87.441	341	6.043	298	 9.59	   	      	513566	337797	 117936
13	GT   	Monika Dedaj                 	 4	 4	408	62.221	374	 84.974	377	 86.407	364	5.892	373	 9.12	   	      	520776	337130	 274464
13	GT   	Ruth Marsh                   	 1	 4	434	59.744	412	 83.532	400	 85.764	436	5.400	366	 9.16	   	      	564714	337138	  95662
