line	seed	team	kind	position	player	partner	wins1	losses1	wins2	losses2	wins3	losses3	wins4	losses4	wins5	losses5	wins6	losses6	dualWins	dualLosses	overallWins	overallLosses
8	16	ILL  	D	4	Vuk Budic                	Lucas Horve              					0	1							0	1	0	1
34		AAMU 	S	1	Rodrigo Arana Rios       	                         	1	10											1	10	1	10
34		AAMU 	S	2	Gjorgji Popovski         	                         			6	6									6	6	6	6
34		AAMU 	S	3	Fermin Ruiz              	                         			0	3	0	9							0	12	0	12
34		AAMU 	S	4	Natiphat Mulada          	                         							5	2	0	2			5	4	5	4
34		AAMU 	S	5	Panji Setiawan           	                         							0	3	4	4			4	7	4	7
34		AAMU 	S	6	Divesh Gahlot            	                         											3	0	3	0	3	0
34		AAMU 	S	7	Cheng Chang              	                         									0	2	1	2	1	4	1	4
34		AAMU 	S	8	German Ruiz Crespo       	                         											0	2	0	2	0	2
34		AAMU 	S	9	Austin Smith             	                         											0	1	0	1	0	1
34		AAMU 	D	1	Panji Setiawan           	Rodrigo Arana Rios       	3	7											3	7	3	7
34		AAMU 	D	2	Gjorgji Popovski         	Cheng Chang              	3	7											3	7	3	7
34		AAMU 	D	3	Divesh Gahlot            	Fermin Ruiz              	1	1											1	1	1	1
34		AAMU 	D	4	German Ruiz Crespo       	Natiphat Mulada          													0	0	0	0
37		ARIZ 	S	1	Gustaf Strom             	                         	3	1	5	1	9	0							17	2	17	2
37		ARIZ 	S	2	Jonas Ziverts            	                         	8	7	1	1									9	8	9	8
37		ARIZ 	S	3	Filip Malbasic           	                         			3	3	5	4	6	2					14	9	14	9
37		ARIZ 	S	4	Herman Hoeyeraal         	                         									1	0	3	0	4	0	4	0
37		ARIZ 	S	5	Alejandro Reguant        	                         	3	0	4	3	1	0	5	3					13	6	13	6
37		ARIZ 	S	6	Carlos Hassey            	                         					1	0	1	0	9	6	1	1	12	7	12	7
37		ARIZ 	S	7	Nick Lagaev              	                         			1	0	1	0	1	0	2	0	8	5	13	5	13	5
37		ARIZ 	S	8	Hiroki Sakagawa          	                         									3	0			3	0	3	0
37		ARIZ 	S	9	Igor Karpovets           	                         							2	0	0	1			2	1	2	1
37		ARIZ 	S	10	Jett Middleton           	                         					1	0	1	0			2	0	4	0	4	0
37		ARIZ 	S	11	Conner Olsen             	                         											2	1	2	1	2	1
37		ARIZ 	S	12	Jared Horwood            	                         									1	0			1	0	1	0
37		ARIZ 	D	1	Carlos Hassey            	Alejandro Reguant        	1	0	9	3									10	3	10	3
37		ARIZ 	D	2	Jonas Ziverts            	Herman Hoeyeraal         													0	0	0	0
37		ARIZ 	D	3	Gustaf Strom             	Filip Malbasic           			2	0	7	5							9	5	9	5
37		ARIZ 	D	4	Jett MIddleton           	Nick Lagaev              													0	0	0	0
