seed	team	name
  	OKST 	Bunyawi Thamchaiwat
  	OKST 	Daniella Medvedeva
  	OKST 	Dariya Detkovskaya
  	OKST 	Lenka Stara
  	OKST 	Lora Boggs
  	PEAY 	Aleks Topalovic
  	PEAY 	Ana Albertson
  	PEAY 	Danielle Morris
  	PEAY 	Fabienne Schmidt
  	PEAY 	Honoka Nakanishi
  	PEAY 	Jana Leder
  	PEAY 	Martina Paladini-Jennings
  	RICE 	Anastasia Smirnova
  	RICE 	Anna Bowtell
  	RICE 	Diae El Jardi
  	RICE 	Federica Trevisan
  	RICE 	Linda Huang
  	RICE 	Maria Budin
  	RICE 	Michaela Haet
  	RICE 	Victoria Smirnova
  	SCAR 	Allie Gretkowski
  	SCAR 	Ana Cruz
  	SCAR 	Elise Mills
  	SCAR 	Emma Shelton
  	SCAR 	Gabriela Martinez
  	SCAR 	Kendall Couch
  	SCAR 	Lindsay Tulenko
  	SCAR 	Megan Davies
  	SCAR 	Mia Horvit
  	SCAR 	Silvia Chinellato
  	SCST 	Anabel Aguilar
  	SCST 	Anais Peralta
  	SCST 	Andjela Mihajilovic
  	SCST 	Hind Semlali
  	SCST 	Ikram Rassif
  	SCST 	Lajla Cemalovic
  	SCST 	Lasya Patnaik
  	SCST 	Rachida Berjane
  	SIEN 	Anastasia Koniaev
  	SIEN 	Emma Boggiali
  	SIEN 	Kylie Mullaney
  	SIEN 	Maanya Viswanath
  	SIEN 	Meagan Brown
  	SIEN 	Nanea Perkins
  	SIEN 	Petra Miszczak
  	SIEN 	Shelby Madeiros
  	SJSU 	Alba Pedrero Galindo
  	SJSU 	Irena Muradyan
  	SJSU 	Jovana Babic
  	SJSU 	Lara Marco Mas
  	SJSU 	Raquel Villan Pereira
  	SJSU 	Rozalina Youseva
  	SJSU 	Tamara Culibrk
  	STAN 	Ana Geller
  	STAN 	Angelica Blake
  	STAN 	Arbuthnott
  	STAN 	Blake
  	STAN 	Choy
  	STAN 	Emily Arbuthnott
  	STAN 	Emma Higuchi
  	STAN 	Gordon
  	STAN 	Higuchi
  	STAN 	Houghton
  	STAN 	India Houghton
  	STAN 	Janicce Shin
  	STAN 	Madurawe
  	STAN 	Michaela Gordon
  	STAN 	Niluka Madurawe
  	STAN 	Sara Choy
  	STAN 	Shin
  	SYR  	Guzal Yusupova
  	SYR  	Ines Fonte
  	SYR  	Miranda Ramirez
  	SYR  	Natalie Novotna
  	SYR  	Polina Kozyreva
  	SYR  	Sofya Trescheva
  	SYR  	Viktoriya Kanapatskaya
  	SYR  	Zeynep Erman
