seed	team	player	wins	losses	r2Id	masseyId	utrId	notes	drawLine	line
R2	MIA  	Florencia Urrutia            	12	 8	521318	337445	 248735	  		  
R2	MIA  	Isabella Pfennig             	17	 4	564946	337447	1972317	AL		13
R2	MIA  	Maya Tahan                   	14	 8	521316	337443	1972195	  		  
R2	MIA  	Nada Dimovska                	 0	 2	509854	339451	 616149	  		  
R2	MIA  	Selma Cadar                  	 0	 2	509855	337442	1711774	  		  
R2	MICH 	Alyvia Jones                 	 8	 6	419567	337119	  76994	  		  
R2	MICH 	Anca Craciun                 	 0	 2	487211	337122	 215737	  		  
R2	MICH 	Andrea Cerdan                	13	 9	510627	337106	 224544	  		  
R2	MICH 	Bella Lorenzini              	 7	 0	427820	337115	 773165	  		  
R2	MICH 	Chiara Lommer                	16	 5	427507	337112	  72074	  		  
R2	MICH 	Gala Mesochoritou            	17	 0	564385	337102	2688839	  		  
R2	MICH 	Jaedan Brown                 	17	 6	564381	337095	  95681	  		  
R2	MICH 	Kari Miller                  	17	 4	564380	337091	  98432	AL		43
R2	MICH 	Merri Kelly                  	 6	 2	564382	337098	2563240	  		  
R2	MICH 	Nicole Hammond               	 5	 3	510628	337109	1618807	  		  
R2	MISS 	Alexa Bortles                	 3	10	391673	336744	  52095	  		  
R2	MISS 	Anna Vrbenska                	10	 4	461316	337365	  54344	  		  
R2	MISS 	Eesha Gudiseva               	 2	 1	562106	      	 100087	  		  
R2	MISS 	Elysia Pool                  	 3	 3	562105	336752	 278257	  		  
R2	MISS 	Grace Anne Jones             	 0	 1	485316	336756	 100207	  		  
R2	MISS 	Kelsey Mize                  	 3	10	521390	336755	1762843	  		  
R2	MISS 	Lillian Gabrielsen           	 9	10	562107	336751	1695237	  		  
R2	MISS 	Reka Zadori                  	13	10	562104	336749	1725664	  		  
R2	MISS 	Sabina Machalova             	15	10	428629	336745	2170423	AL		42
R2	MISS 	Tereza Janatova              	11	 5	418519	337133	1890094	  		  
R2	MISS 	Tiphanie Fiquet              	15	 8	513436	336747	 202352	  		  
R2	NW   	Briana Crowley               	17	 8	513284	337096	2105431	  		  
R2	NW   	Caroline Pozo                	13	 8	442770	337107	1711925	  		  
R2	NW   	Christina Hand               	12	 5	513285	337103	2129589	  		  
R2	NW   	Clarissa Hand                	15	 8	486604	337094	  77519	  		  
R2	NW   	Hannah McColgan              	 6	 5	486608	337111	1711832	  		  
R2	NW   	Inci Ogut                    	 0	 1	438075	337101	2564971	  		  
R2	NW   	Julie Byrne                  	12	11	394328	337121	1712040	  		  
R2	NW   	Maria Shusharina             	10	14	564566	337118	 270797	  		  
R2	NW   	Zoe Spence                   	 0	 2	564564	      	2687953	  		  
R2	ODU  	Alesya Yakubovich            	 6	 9	497554	337366	 203616	  		  
R2	ODU  	Alexandra Viktorovich        	 7	 5	515766	337528	1638771	  		  
R2	ODU  	Brooke Pilkington            	 6	 5	492332	337368	  33339	  		  
R2	ODU  	Holly Hutchinson             	 7	 9	417525	337363	2095027	  		  
R2	ODU  	Shahar Biran                 	 4	 4	515765	337364	  89951	  		  
R2	ODU  	Tatsiana Sasnouskaya         	13	 2	521178	337367	 276270	  		  
R2	ODU  	Yulia Starodubsteva          	11	 1	454355	338002	2559746	AQ		 6
R2	OKLA 	Camila Romero                	 1	 1	446762	339644	2512314	  		  
R2	OKLA 	Carmen Corley                	17	15	521320	336650	1430009	ALT		  
R2	OKLA 	Dana Guzman                  	19	 2	564055	337158	 490206	ALT		  
R2	OKLA 	Ivana Corley                 	20	13	490901	336653	  72048	  		  
R2	OKLA 	Kianah Motosono              	17	15	490922	336651	 139966	  		  
R2	OKLA 	Marcelina Podlinksa          	13	 6	511015	337159	1713429	  		  
R2	OKLA 	Martina Cappuro              	12	 8	489368	337155	1898429	  		  
R2	SCAR 	Allie Gretkowski             	 7	12	564249	337161	1905349	  		  
R2	SCAR 	Ana Luiza Cruz               	 5	 6	513311	337162	1618840	  		  
R2	SCAR 	Corina Spasojevic            	 0	 5	561915	336839	2532130	  		  
R2	SCAR 	Elise Mills                  	 3	 9	513314	336845	 920935	  		  
R2	SCAR 	Emma Shelton                 	13	11	513315	336844	  99350	  		  
R2	SCAR 	Gabriela Martinez Asensi     	 1	 6	513313	336846	2606629	  		  
