seed	team	player	wins	losses	r2Id	masseyId	utrId	line	notes
R2	OKLA 	Jonathan Sheehy                     	 2	 7	559730	330887	 362824	  	   
R2	OKLA 	Justin Schlageter                   	11	13	520725	330876	2502802	  	   
R2	OKLA 	Mark Mandlik                        	 6	14	511014	331533	2093382	  	   
R2	OKLA 	Mason Beiler                        	17	14	485308	330870	1263693	  	   
R2	OKLA 	Matt Rodriguez                      	 3	 4	485309	330893	1263690	  	   
R2	OKLA 	Max Stewart                         	 3	 3	454858	331537	  93151	  	   
R2	OKLA 	Nathan Han                          	15	11	559729	330881	2547821	  	   
R2	OKLA 	Welsh Hotard                        	13	 7	559728	330879	 804804	  	   
R2	OKST 	Dominik Kellovsky                   	 5	 8	514377	331554	2564610	  	   
R2	OKST 	Emile Hudd                          	 9	 9	487451	331390	 208928	  	   
R2	OKST 	Etienne Donnet                      	10	15	520763	331388	2586078	  	   
R2	OKST 	Henrik Korsgaard                    	 9	 9	564471	331557	1607982	  	   
R2	OKST 	Luke Hammond                        	 0	 2	413300	331397	 114409	  	   
R2	OKST 	Matej Vocel                         	12	 5	487509	331552	 154537	57	AL 
R2	OKST 	Mathieu Scaglia                     	 9	 9	449242	331560	2738420	  	   
R2	OKST 	Matisse Bobichon                    	 5	 4	564712	331589	 275035	  	   
R2	OKST 	Maxim Tybar                         	 1	 0	459164	334430	1872203	  	   
R2	OSU  	Cannon Kingsley                     	27	 0	511704	331917	1906302	45	AL 
R2	OSU  	Jacob Wareti                        	 1	 3	462064	344157	  77015	  	   
R2	OSU  	James Trotter                       	15	 1	485329	332001	2542115	  	   
R2	OSU  	JJ Mercer                           	 4	 3	511707	357295	 786446	  	   
R2	OSU  	JJ Tracy                            	26	 3	564703	331919	2653087	  	   
R2	OSU  	John McNally                        	22	 5	432019	332000	2204585	 2	AL 
R2	OSU  	Justin Boulais                      	 6	 2	511705	333289	2530168	  	   
R2	OSU  	Kyle Seelig                         	19	 8	450412	331918	  33380	  	   
R2	OSU  	Lacelot Carnello                    	 0	 1	564807	      	1784522	  	   
R2	OSU  	Robert Cash                         	17	 4	511706	332002	  85660	  	   
R2	OSU  	Tim Seibert                         	 2	 0	450476	333293	2552995	  	   
R2	PEPP 	Adrian Oetzbach                     	 8	12	488802	332009	1707234	  	   
R2	PEPP 	Corrado Summaria                    	 8	10	501835	332011	2628275	  	   
R2	PEPP 	Daniel De Jonge                     	12	 5	523004	333036	1959699	  	   
R2	PEPP 	Guy Den Ouden                       	16	 5	563775	332010	1162984	  	   
R2	PEPP 	Pawel Jankowiak                     	 2	 4	488801	332613	 407013	  	   
R2	PEPP 	Pietro Fellin                       	10	 5	521203	332612	 262366	  	   
R2	PEPP 	Robert Shelton                      	 9	 6	515020	332611	1609426	  	   
R2	PEPP 	Tim Zeitvogel                       	 9	 0	497648	334999	1740785	  	   
R2	PEPP 	Tom Grosjean                        	 0	 2	563774	      	 194203	  	   
R2	STAN 	Alex Lee                            	 1	 1	568937	      	2727863	  	   
R2	STAN 	Alexandre Rotsaert                  	 5	 7	488298	335291	  76872	  	   
R2	STAN 	Arthur Fery                         	13	 3	564316	335006	 274896	  	   
R2	STAN 	Aryan Chaudhary                     	 1	 1	568936	      	  68957	  	   
R2	STAN 	Axel Geller                         	 6	 6	409496	335292	 196281	  	ALT
R2	STAN 	Filip Kolasinski                    	 1	 0	512403	335295	 242514	  	   
