seed	team	name
  	UNCW 	Davide Innocenti
  	UNCW 	Dillon Gooch
  	UNCW 	Gabriel Hurtado
  	UNCW 	John Dransfeld
  	UNCW 	Leo Sprovieri
  	UNCW 	Michael Copeland
  	UNM  	Alex Maggs
  	UNM  	Dominic West
  	UNM  	Jake Trondson
  	UNM  	Nico Prieto
  	UNM  	Nicolas Prieto
  	UNM  	Rafael Abdulsalam
  	UNM  	Raul Dobai
  	UNM  	Sergio Molina
  	UNM  	Stepan Holis
  	USF  	alvin tudorica
  	USF  	Alvin Tudorica
  	USF  	antonio muniz-hidalgo
  	USF  	Antonio Muniz-Hidalgo
  	USF  	chase ferguson
  	USF  	Chase Ferguson
  	USF  	ivan yatsuk
  	USF  	Ivan Yatsuk
  	USF  	jakub wojcik
  	USF  	manuel goncalves
  	USF  	Manuel Goncalves
  	USF  	pierre luquet
  	USF  	rithvik bollipalli
  	USF  	sergio gomez-montesa
  	USF  	Sergio Gomez-Montesa
  	VCU  	Charles Bertimon
  	VCU  	David Cierny
  	VCU  	Inigo Torre
  	VCU  	Inigo Torre Martin
  	VCU  	Lleyton Cronje
  	VCU  	Mario Duron
  	VCU  	Quentin Coulaud
  	VCU  	Rayane Stable
  	VCU  	Timo Zgraggen
  	VT   	Alex Ix
  	VT   	Alex Ribeiro
  	VT   	Alvaro Ariza
  	VT   	Carlo Donato
  	VT   	Chase Bernstine
  	VT   	Hugo Maia
  	VT   	Jordan Chrysostom
  	VT   	Matt Ross
  	VT   	Michael Shepheard
  	VT   	Micheal Shepheard
  	VT   	Mitch Harper
  	VT   	Ryan Bernstine
  	VT   	Ryan Fishback
  	VT   	Ryan Kros
  	WICH 	Alex Richards
  	WICH 	Luka Mrsic
  	WICH 	Marius Frosa
  	WICH 	Murkel Dellien
  	WICH 	Nicolas Acevedo
  	WICH 	Orel Ovil
  	WICH 	Ray Lo
  	WICH 	Stefan Latinovic
  	WICH 	Zach Grueber
  	WMU  	Arjun Honnappa
  	WMU  	Ben George
  	WMU  	Brogan Pierce
  	WMU  	Ferdinand Schluter
  	WMU  	Fynn Lohse
  	WMU  	Jack Randall
  	WMU  	Jackson Boone
  	WMU  	Jannik Opitz
  	WMU  	Joaquin Caballer
  	WMU  	Peter Kuszynski
  	WMU  	Zac Faveri
